name,gender,sub-group,room type,phone
"  Comfort Owusu 79  ","F","Galilee Council","Premium Room","0221290038"
"","F","EPHRAIM COUNCIL","Standard Dorm","029-695-6594"
"Daniel Darko 81","M","Judah Council","Standard Dorm","0253806418"
"Akosua Mensah 82","F","Ephraim Council","Standard Dorm","028-914-4567"
"Yaw Darko 83","M","EPHRAIM COUNCIL","Couple Room","023-107-8338"
"Kwabena Addo 84","M","Judah Council","Couple Room","0282381353"
"Yaw Adjei 85","M","Ephraim Council","Couple Room","0253358798"
"Comfort Frimpong 86","F","Judah Council","Standard Dorm","0288034981"
"Yaa Addo 87","F","Judah Council","Standard Dorm","0297931283"
"Nathan Boateng 88","M","Galilee Council","Couple Room","+44 7911 750474"
"Kofi Nyarko 89","M","JUDAH COUNCIL","Premium Room","0230808993"
"  Prince Addo 90  ","male","Ephraim Council","Couple Room","0264981409"
"Grace Adjei 91","F","Judah Council","Couple Room","0234380695"
"Samuel Nyarko 92","M","Ephraim Council","Premium Room","024-157-5173"
"Yaw Adjei 93","M","Ephraim Council","Premium Room","0242160802"
"Nathan Adjei 94","M","Ephraim Council","Premium Room","027-213-5482"
"Faith Nyarko 95","F","Ephraim Council","","0221586293"
"Efua Frimpong 96","F","Galilee Council","Standard Dorm","0299966126"
"Emmanuel Boateng 97","MALE","Judah Council","Standard Dorm","0248907136"
"Efua Asante 18","F","Ephraim Council","Couple Room","0242133730"
"Prince Nyarko 99","M","Ephraim Council","Couple Room","0272201083"
"Patience Owusu 100","F","Judah Council","Standard Dorm","0266952482"
"Ama Boateng 101","F","GALILEE COUNCIL","couple room","0276346332"
"Isaac Owusu 102","M","Ephraim Council","Standard Dorm","0251597452"
"  Yaw Nyarko 103  ","M","Galilee Council","Couple Room","0262548774"
"  Priscilla Nyarko 104  ","F","Judah Council","Couple Room","0255193392"
"Prince Asante 105","M","Judah Council","couple room","0271634112"
"Prince Mensah 106","M","Galilee Council","Premium Room","0235013602"
"Gifty Addo 107","F","Galilee Council","Couple Room","0274232963"
"Faith Boateng 108","F","Ephraim Council","Premium Room","0280784469"
"Nathan Asante 109","M","Galilee Council","Premium Room","0279124198"
"  Nathan Frimpong 110  ","M","Ephraim Council","Premium Room","0274597803"
"Kojo Owusu 111","M","Galilee Council","Standard Dorm","0260948653"
"Yaw Appiah 112","M","Galilee Council","Premium Room","026-965-2181"
"  Vida Addo 113  ","Female","Ephraim Council","Couple Room","0239720247"
"Joshua Nyarko 114","M","Galilee Council","Premium Room","0228665488"
"Yaw Owusu 115","M","Judah Council","Premium Room","0240896850"
"Yaw Boateng 116","M","Judah Council","Premium Room","+44 7911 280601"
"Akosua Addo 117","F","Ephraim Council","couple room","0293231507"
"Kwabena Appiah 118","M","Ephraim Council","couple room","0228462984"
"Kojo Nyarko 119","M","Galilee Council","Premium Room","0254846137"
"Yaw Mensah 120","X","Galilee Council","Standard Dorm","0225287261"
"Gifty Darko 121","F","Ephraim Council","Couple Room","0223129674"
"Yaw Mensah 122","M","Ephraim Council","Couple Room","0223346110"
"Kwame Boateng 123","M","Ephraim Council","Premium Room","0893"
"Yaw Addo 124","M","JUDAH COUNCIL","Premium Room","0270798063"
"Priscilla Nyarko 125","F","Ephraim Council","Premium Room","026-644-0723"
"Efua Adjei 126","F","Galilee Council","Couple Room","0210524837"
"Yaw Adjei 127","M","Galilee Council","Standard Dorm","0225485672"
"Isaac Nyarko 128","M","JUDAH COUNCIL","Premium Room","0215425525"
"Comfort Mensah 129","FEMALE","FLC Miotso","Couple Room","0245099517"
"  Yaw Appiah 130  ","M","Galilee Council","Premium Room","0290633621"
"Daniel Mensah","F","Judah Council","Premium Room","0388249924"
"Prince Nyarko 132","M","Ephraim Council","Standard Dorm","0220923660"
"Michael Adjei 133","M","Judah Council","Couple Room","0243863956"
"Abena Nyarko 134","FEMALE","Judah Council","Standard Dorm","0277686934"
"Gifty Asante 135","F","Galilee Council","Couple Room","0250215334"
"Yaw Appiah 136","M","Galilee Council","Premium Room","0285276576"
"Faith Acquah 137","F","Galilee Council","Couple Room","0255026349"
"Rebecca Appiah 138","F","Galilee Council","Standard Dorm","0283841727"
"Kwame Appiah 139","M","Galilee Council","Couple Room","0246545649"
"Faith Asante 140","F","Judah Council","Standard Dorm","027-040-8341"
"Gifty Frimpong 141","F","Ephraim Council","Standard Dorm","0251422121"
"Comfort Asante 142","F","Ephraim Council","Premium Room","0250136365"
"Rebecca Nyarko 143","F","EPHRAIM COUNCIL","Couple Room","0260190681"
"Mary Asante 144","FEMALE","Galilee Council","Premium Room","0250723516"
"Samuel Boateng 145","MALE","Galilee Council","Couple Room","0248720564"
"  Kwame Owusu 146  ","M","Judah Council","Premium Room","0252468070"
"Comfort Owusu 147","F","Ephraim Council","Couple Room","021-478-2439"
"Patience Addo 148","F","Judah Council","Standard Dorm","026-242-3322"
"Yaw Nyarko 149","M","Galilee Council","Standard Dorm","0222294335"
"Kwame Darko 150","M","Judah Council","Standard Dorm","0298342317"
"  Daniel Boateng 151  ","M","Galilee Council","Couple Room","0215137928"
"Yaw Addo 152","M","Ephraim Council","Couple Room","0286567011"
"Emmanuel Frimpong 153","M","Youth Fellowship","Premium Room","0210797321"

"Samuel Owusu 154","M","Galilee Council","Couple Room","0221187403"
"  Kwame Frimpong 155  ","M","Galilee Council","Premium Room","0275301469"
"Isaac Appiah 156","M","Judah Council","Couple Room","0246854584"
"Rebecca Darko 157","F","GALILEE COUNCIL","Couple Room","0232876723"
"Gifty Adjei 158","F","GALILEE COUNCIL","Premium Room","0276358195"
"Joshua Owusu 159","M","zzz-unknown","Premium Room","0214752197"
"Nathan Appiah 160","M","EPHRAIM COUNCIL","Standard Dorm","0219046456"
"Akosua Nyarko 161","F","Ephraim Council","","021-256-5450"
"Ama Appiah 162","F","Ephraim Council","Couple Room","0219480244"
"Emmanuel Frimpong 163","M","Galilee Council","Premium Room","0242228302"
"Joshua Frimpong 164","M","GALILEE COUNCIL","VIP Suite","0292257830"
"Priscilla Owusu 165","F","Judah Council","Couple Room","0269625327"
"Prince Boateng 166","M","JUDAH COUNCIL","Couple Room","0282118980"
"Gifty Owusu 167","F","Judah Council","Standard Dorm","0274427731"
"Patience Owusu 168","F","Judah Council","premium room","0284139940"
"Isaac Adjei 169","M","JUDAH COUNCIL","Couple Room","0221448256"
"Vida Acquah 170","F","Ephraim Council","Standard Dorm","0224546905"
"Kwaku Mensah 171","M","Galilee Council","Couple Room","0293334974"
"Kwabena Darko 172","m","Galilee Council","Premium Room","0260699203"
"Yaw Darko 173","M","Galilee Council","Couple Room","0231805990"
"Prince Addo 174","M","Galilee Council","Premium Room","0230948479"
"Efua Frimpong 175","Female","Ephraim Council","Couple Room","0299574349"
"Gifty Mensah 176","F","EPHRAIM COUNCIL","standard dorm","0252570324"
"Patience Asante 177","F","Ephraim Council","Standard Dorm","0258652688"
"Ama Boateng 178","F","Ephraim Council","standard dorm","0291576920"
"","F","Judah Council","Standard Dorm","0215006866"
"Rebecca Appiah 180","F","Galilee Council","Couple Room","0288558750"
"Yaw Appiah 181","M","Galilee Council","Standard Dorm","0216408950"
"Emmanuel Boateng 182","M","Galilee Council","Premium Room","0290125472"
"  Akosua Frimpong 183  ","F","Youth Fellowship","Premium Room","0295459432"
"Akua Appiah 184","F","Galilee Council","Couple Room","0251198787"
"Ama Owusu 185","F","Galilee Council","Couple Room","0275986680"
"  Yaw Boateng 186  ","M","Ephraim Council","","0267392235"
"Vida Adjei 187","F","Judah Council","Couple Room","0278872892"
"Rebecca Boateng 188","F","YOUTH FELLOWSHIP","Standard Dorm","0285365842"
"Priscilla Appiah 189","F","Judah Council","Couple Room","0269119272"
"Emmanuel Addo 190","M","Judah Council","Couple Room","0256675441"
"Efua Boateng 191","F","Ephraim Council","Standard Dorm","0233164905"
"  Nathan Boateng 192  ","MALE","Galilee Council","Standard Dorm","0286905679"
"Priscilla Adjei 193","F","Galilee Council","Standard Dorm","0247815106"
"Ama Mensah 194","F","zzz-unknown","Couple Room","0258159512"
"Michael Adjei 195","M","Judah Council","Standard Dorm","0256297876"
"Comfort Owusu 196","F","Judah Council","Couple Room","0212799392"
"Rebecca Boateng 197","F","Galilee Council","Couple Room","0248874071"
"Mary Mensah 198","F","Galilee Council","Couple Room","0222161150"
"Ama Owusu 199","F","Galilee Council","Standard Dorm","0217653599"
"Kwabena Appiah 200","M","Ephraim Council","Standard Dorm","0259550411"
"  Ama Adjei 201  ","F","ZZZ-UNKNOWN","Standard Dorm","0254685533"
"Yaw Acquah 202","male","JUDAH COUNCIL","Standard Dorm","0228820177"
"Samuel Nyarko 203","Male","Galilee Council","Couple Room","0269172716"
"Nathan Boateng 204","M","Ephraim Council","Standard Dorm","021-793-1291"
"  Samuel Boateng 205  ","M","Judah Council","Couple Room","0284962034"
"Akua Adjei 206","F","Judah Council","Premium Room","0286199898"
"Nathan Mensah 207","M","Galilee Council","Premium Room","0217647363"
"Kwabena Appiah 208","m","Ephraim Council","Couple Room","0214526197"
"Prince Owusu 209","M","JUDAH COUNCIL","Standard Dorm","0283256657"
"Yaw Addo 210","M","GALILEE COUNCIL","Standard Dorm","0285006472"
"Yaw Mensah 211","M","JUDAH COUNCIL","Premium Room","0217687400"
"Yaa Boateng 212","F","Galilee Council","Couple Room","0262475019"
"Abena Nyarko 213","F","Ephraim Council","Premium Room","024-292-7571"
"  Prince Acquah 214  ","M","Ephraim Council","Standard Dorm","0224153941"
"Ama Asante 215","F","Ephraim Council","Couple Room","0231384654"
"Abena Mensah 216","F","Judah Council","Standard Dorm","0297715837"
"Grace Appiah 217","F","Judah Council","couple room","0287316404"
"Kwaku Darko 218","M","Judah Council","Standard Dorm","0269051888"
"  Samuel Adjei 219  ","M","EPHRAIM COUNCIL","","0232619150"
"Grace Addo 220","f","Ephraim Council","Standard Dorm","027-194-7778"
"Abena Nyarko 221","F","Judah Council","Premium Room","021-525-6421"
"Priscilla Addo 222","F","Judah Council","Standard Dorm","0233616172"
"Gifty Adjei 223","FEMALE","JUDAH COUNCIL","Premium Room","0221453404"
"Rebecca Adjei 224","F","Judah Council","premium room","0235605929"
"Efua Owusu 225","F","Ephraim Council","Standard Dorm","0212160333"
"  Yaa Asante 226  ","F","Galilee Council","couple room","0271987152"
"Daniel Adjei 227","M","Judah Council","Standard Dorm","0273959803"
"Vida Adjei 228","2","Galilee Council","Standard Dorm","0273592136"
"Comfort Appiah 229","f","Judah Council","Standard Dorm","0244247568"
"Kojo Mensah 230","M","Ephraim Council","Premium Room","0225373845"
"Priscilla Boateng 231","F","Judah Council","Premium Room","0276837839"
"Efua Owusu 232","FEMALE","Judah Council","Couple Room","0250554267"
"Faith Appiah 233","F","Judah Council","Couple Room","0261244830"
"  Prince Nyarko 234  ","M","Ephraim Council","Premium Room","0267662064"
"Prince Addo 235","M","Judah Council","Premium Room","0298073890"
"Kofi Owusu 236","M","JUDAH COUNCIL","Premium Room","0232786351"
"Abena Addo 237","F","Ephraim Council","Standard Dorm","0278125073"
"Comfort Asante 238","Female","Galilee Council","Standard Dorm","0269262406"
"  Efua Darko 239  ","F","Judah Council","Premium Room","0213176531"
"  Priscilla Acquah 240  ","FEMALE","Judah Council","Standard Dorm","0292560248"
"Comfort Boateng 241","F","Galilee Council","Standard Dorm","0216599750"
"Vida Frimpong 242","F","Ephraim Council","Standard Dorm","023-947-5058"
"Patience Darko 243","F","EPHRAIM COUNCIL","couple room","0261914044"
"  Mary Addo  ","F","Galilee Council","Premium Room","0363123274"
"Kofi Appiah 245","M","Galilee Council","premium room","0229340462"
"Rebecca Acquah 246","F","Galilee Council","Couple Room","024-337-7165"
"Prince Adjei 247","male","Galilee Council","Couple Room","029-521-7895"
"Yaw Darko 248","m","Ephraim Council","Premium Room","0271005820"
"Akosua Mensah 249","f","Judah Council","Standard Dorm","0214658572"
"Akua Mensah 250","F","JUDAH COUNCIL","Couple Room","0288963387"
"Efua Nyarko 251","F","Galilee Council","Couple Room","0260823321"
"Mary Appiah 252","FEMALE","Judah Council","Premium Room","0236817455"
"Gifty Frimpong 253","F","Ephraim Council","Couple Room","0281097567"
"Priscilla Darko 254","FEMALE","Ephraim Council","Premium Room","025-425-6860"
"Gifty Owusu 255","F","Judah Council","Couple Room","024-458-6637"
"Yaa Boateng 256","F","JUDAH COUNCIL","premium room","0251012599"
"Daniel Boateng 257","M","Galilee Council","Premium Room","028-685-7898"
"Isaac Appiah 258","M","EPHRAIM COUNCIL","Standard Dorm","0296745654"
"","M","Ephraim Council","Premium Room","0264241548"
"Yaa Asante 260","female","Judah Council","premium room","0217695812"
"Samuel Nyarko 261","M","Galilee Council","Couple Room","0225255655"
"Kwabena Appiah 262","M","Galilee Council","Standard Dorm","0229251087"
"Kojo Adjei 263","M","Ephraim Council","Standard Dorm",""
"Priscilla Owusu 264","F","Ephraim Council","couple room","0288897645"
"Mary Boateng 265","F","Judah Council","Couple Room","0226599921"
"Ama Adjei 266","F","Galilee Council","Standard Dorm","0248773179"
"Emmanuel Darko 267","male","Judah Council","premium room","0296750404"
"  Grace Addo 268  ","F","JUDAH COUNCIL","Premium Room","0221891269"
"Akosua Darko 269","F","Ephraim Council","Couple Room","0287051021"
"Samuel Asante 270","Male","Ephraim Council","standard dorm","0298461025"
"Kojo Acquah 271","M","Galilee Council","Premium Room","0264128183"
"Isaac Acquah 272","M","Galilee Council","Standard Dorm","0279497772"
"Comfort Acquah 273","F","Galilee Council","Premium Room","021-894-9704"
"Emmanuel Adjei 274","M","Ephraim Council","couple room","+44 7911 995342"
"Yaw Adjei 275","M","Judah Council","Premium Room","0296749145"
"Ama Boateng 276","F","EPHRAIM COUNCIL","Premium Room","0262351705"
"Emmanuel Frimpong 277","M","Judah Council","Standard Dorm","0230732770"
"  Isaac Acquah 278  ","M","Ephraim Council","Standard Dorm","0287518634"
"Samuel Owusu 279","M","Galilee Council","Couple Room","0265317815"
"Daniel Boateng 280","MALE","Ephraim Council","Premium Room","0246359146"
"Kwabena Acquah 281","male","Galilee Council","Couple Room","0273588127"
"Yaw Darko 282","M","Galilee Council","Couple Room","0239082309"
"Joshua Appiah 283","M","Galilee Council","Couple Room","0270597916"
"  Joshua Adjei 284  ","M","Judah Council","Premium Room","0253425947"
"Samuel Nyarko 285","Male","Ephraim Council","Premium Room","0226990177"
"","M","Judah Council","Couple Room","0245317293"
"Ama Boateng 287","F","EPHRAIM COUNCIL","Standard Dorm","0227901317"
"Isaac Darko 288","M","Galilee Council","Couple Room","0270520415"
"Faith Owusu 289","F","Judah Council","Premium Room",""
"Emmanuel Boateng 290","Male","Galilee Council","Standard Dorm","0245676451"
"Abena Mensah 291","F","Judah Council","Premium Room","0252773672"
"Kofi Addo 292","M","Ephraim Council","vip suite","0259753041"
"Yaw Addo 293","M","Ephraim Council","standard dorm","024-611-8697"
"Emmanuel Adjei 294","M","Ephraim Council","Standard Dorm","0231144722"
"Kwame Appiah 295","M","Galilee Council","Couple Room","0265749306"
"Prince Boateng 296","M","Galilee Council","Standard Dorm","029-007-2014"
"  Akua Acquah 297  ","FEMALE","JUDAH COUNCIL","Couple Room","0266052981"
"Patience Addo 298","F","Galilee Council","Standard Dorm","0238057702"
"  Rebecca Nyarko 299  ","F","Judah Council","Premium Room","0212917796"
"Mary Boateng 300","F","GALILEE COUNCIL","Couple Room","0245882087"
"Priscilla Boateng 301","FEMALE","Galilee Council","Couple Room","0212598585"
"Samuel Darko 302","MALE","Judah Council","standard dorm","0269623974"
"  Abena Owusu 303  ","F","Judah Council","Premium Room","0249377463"
"  Comfort Mensah 304  ","F","Youth Fellowship","Premium Room","0220191568"
"Yaa Owusu 305","F","Judah Council","Couple Room","0288977408"
"Abena Mensah 306","F","Ephraim Council","Premium Room","0282127419"
"Akosua Frimpong 307","F","Galilee Council","Premium Room","024-779-1773"
"Kwame Frimpong 308","M","Galilee Council","Standard Dorm","0299197267"
"Nathan Nyarko 309","M","JUDAH COUNCIL","Couple Room","0245976615"
"Mary Mensah 310","Female","Judah Council","Premium Room","08"
"Kwame Boateng 311","M","JUDAH COUNCIL","Couple Room","0279524661"
"Kwame Acquah 312","M","Galilee Council","Couple Room","0285237017"
"Nathan Owusu 313","M","Galilee Council","Premium Room","0269722124"
"Kwame Addo 314","M","Judah Council","Premium Room","0270744969"
"Kwame Asante 315","MALE","Galilee Council","standard dorm","0237027529"
"Ama Appiah 316","F","Galilee Council","Premium Room","0248523683"
"Daniel Owusu 317","M","Judah Council","Standard Dorm","0285885348"
"Nathan Boateng 318","M","Galilee Council","Premium Room","0295868844"
"Yaw Appiah 319","M","Judah Council","Standard Dorm","0268968783"
"  Nathan Adjei 320  ","M","Judah Council","Premium Room","0235663642"
"  Kojo Adjei 321  ","M","Galilee Council","Couple Room","028-672-2851"
"Kofi Nyarko 322","M","Judah Council","Standard Dorm","0251666067"
"  Comfort Addo 323  ","F","Ephraim Council","Standard Dorm","0266537685"
"Kwame Adjei 324","M","Ephraim Council","Premium Room","0214125593"
"Abena Frimpong 325","female","Ephraim Council","Standard Dorm","0247202363"
"Nathan Adjei 326","male","Judah Council","Premium Room","0297525289"
"Faith Adjei 327","F","Ephraim Council","Standard Dorm","022-557-8622"
"Emmanuel Frimpong 328","M","Ephraim Council","Standard Dorm","0211590302"
"","F","Galilee Council","Couple Room","0237174289"
"Kojo Appiah 330","M","Judah Council","Standard Dorm","0243766898"

"Joshua Adjei 331","M","Galilee Council","Couple Room","0282501505"
"Kwame Adjei 332","M","Ephraim Council","Premium Room","0276987448"
"  Efua Nyarko 333  ","F","Judah Council","Premium Room","0277947686"
"Daniel Addo 334","M","EPHRAIM COUNCIL","Premium Room","0215723351"
"Akua Acquah 335","F","Galilee Council","Standard Dorm","025-824-5393"
"Kwame Mensah 336","M","Judah Council","Couple Room","0225239066"
"Ama Darko 337","F","Judah Council","Premium Room","0263884559"
"Patience Acquah 338","F","EPHRAIM COUNCIL","Couple Room","029-354-4382"
"Akosua Mensah 339","f","Ephraim Council","Couple Room","0221162582"
"Gifty Owusu 340","F","Judah Council","Premium Room","0463"
"  Akua Frimpong 341  ","f","Judah Council","Standard Dorm","022-745-6689"
"Isaac Owusu 342","M","Galilee Council","Couple Room","0251427590"
"Michael Addo 343","M","Ephraim Council","Standard Dorm","0293160120"
"Grace Owusu 344","F","Ephraim Council","Couple Room","0248333066"
"Kwaku Darko 345","M","Ephraim Council","standard dorm","0221773599"
"Faith Appiah 346","F","JUDAH COUNCIL","Premium Room","0220202389"
"Daniel Boateng 347","MALE","Judah Council","Couple Room","0222628452"
"Gifty Nyarko 348","F","Galilee Council","Standard Dorm","0237685957"
"Efua Owusu 349","F","Ephraim Council","couple room","0281920919"
"Yaw Asante 350","M","Galilee Council","Premium Room","0227897993"
"  Akosua Mensah 351  ","F","Galilee Council","Standard Dorm","0245297220"
"Ama Frimpong 352","","Judah Council","premium room","0219107519"
"Emmanuel Owusu 353","M","Judah Council","Premium Room","0216726941"
"Gifty Owusu 354","F","GALILEE COUNCIL","couple room","0212940126"
"  Kwaku Nyarko 355  ","M","Judah Council","Premium Room","0297801551"
"Emmanuel Frimpong 356","M","Ephraim Council","Couple Room","0295754551"
"Ama Frimpong 357","F","Ephraim Council","Standard Dorm","0261173190"
"Samuel Appiah 358","M","Ephraim Council","Standard Dorm","0296405148"
"  Nathan Nyarko 359  ","M","Judah Council","Couple Room","0245753261"
"Prince Nyarko 360","m","JUDAH COUNCIL","Standard Dorm","0258517222"
"Priscilla Boateng 361","F","Galilee Council","Standard Dorm","0251929301"
"Yaw Adjei 362","M","Judah Council","Standard Dorm","0273192683"
"Efua Acquah 363","F","Galilee Council","Standard Dorm","0250438039"
"  Daniel Darko 364  ","M","Judah Council","couple room","0237611059"
"  Daniel Owusu 365  ","male","Ephraim Council","Premium Room","0290556937"
"Nathan Asante 366","M","Ephraim Council","Standard Dorm","0213773406"
"Yaw Owusu 367","M","Ephraim Council","Couple Room","0230983607"
"  Joshua Mensah 368  ","M","Galilee Council","Couple Room","0276094695"
"  Mary Nyarko 369  ","F","Judah Council","Premium Room","0293016984"
"Abena Darko 370","f","GALILEE COUNCIL","Couple Room","0258404744"
"Prince Addo 371","M","Ephraim Council","Standard Dorm","0260367585"
"Priscilla Nyarko 372","FEMALE","Ephraim Council","Standard Dorm","0236613764"
"Kwame Boateng 373","M","Ephraim Council","Premium Room","0290579007"
"Nathan Frimpong 374","M","FLC Miotso","couple room","0231012386"
"Emmanuel Acquah 375","M","Judah Council","premium room","0224321667"
"Daniel Nyarko 376","M","Judah Council","couple room","+44 7911 238546"
"Faith Asante 377","F","Ephraim Council","Couple Room","0236551916"
"Akua Owusu 378","F","Ephraim Council","Standard Dorm","0287420215"
"Prince Nyarko 379","M","Ephraim Council","Standard Dorm","0283348890"
"Yaa Nyarko 380","F","Judah Council","Standard Dorm","029-765-7268"
"Mary Frimpong 381","F","Judah Council","premium room","+44 7911 260642"
"Yaw Addo 382","M","Ephraim Council","Premium Room","0230726342"
"Grace Boateng 383","F","Judah Council","Standard Dorm","0246115708"
"Yaw Boateng 384","Male","Ephraim Council","Premium Room","0274570605"
"Efua Owusu 385","FEMALE","Galilee Council","Premium Room","0241942255"
"Isaac Boateng 386","M","Judah Council","Standard Dorm","0284743105"
"Gifty Asante 387","F","Galilee Council","couple room","026-206-4184"
"  Ama Asante 388  ","F","GALILEE COUNCIL","Standard Dorm","021-755-2983"
"Akua Frimpong 389","F","Ephraim Council","Standard Dorm","0292704242"
"Nathan Boateng 390","M","Ephraim Council","Couple Room","0281952418"
"Isaac Owusu 391","M","Judah Council","Couple Room","0247262270"
"Grace Darko 392","F","JUDAH COUNCIL","Premium Room","0275147101"
"Patience Acquah 393","F","Galilee Council","Couple Room","0294037517"
"Joshua Mensah 394","MALE","Ephraim Council","Premium Room","0265826434"
"Ama Boateng 395","F","Judah Council","Premium Room","0294204844"
"  Patience Owusu 396  ","F","Ephraim Council","Standard Dorm","0292542882"
"Rebecca Owusu 397","F","Youth Fellowship","Standard Dorm","0235165635"
"Abena Addo 398","F","Judah Council","Standard Dorm","0297659253"
